F,I
1709,1106.375
1710,1274
1711,1403.5
1712,1432.5
1713,1444.5625
1714,1442.3125
1715,1393.8125
1716,1343.3125
1717,1318.375
1718,1274.1875
1719,1233.3125
1720,1193.9375
1721,1144.375
1722,1100.1875
1723,964.9375
1724,868.625
1725,900.25
1726,992.4375
1727,1152
1728,1319.3125
1729,1401.9375
1730,1444.3125
1731,1441.125
1732,1449
1733,1368.5
1734,1338.375
1735,1282.875
1736,1219.0625
1737,1199.0625
1738,1194.5625
1739,1150.8125
1740,1078.25
1741,903.875
1742,827.9375
1743,928
1744,1079.875
1745,1231.9375
1746,1361.6875
1747,1424.75
1748,1428.5
1749,1426.875
1750,1394.375
1751,1354.8125
1752,1346.5625
1753,1267.875
1754,1272.4375
1755,1224.5625
1756,1191.3125
1757,1092
1758,975.3125
1759,846.875
1760,944.4375
1761,1021.1875
1762,1211.9375
1763,1354.25
1764,1429.375
1765,1436.125
1766,1428.6875
1767,1405.5
1768,1320.4375
1769,1312
1770,1271.25
1771,1239.3125
1772,1216.0625
1773,1213.625
1774,1158.625
1775,1111.3125
1776,1011.875
1777,857.875
1778,889.375
1779,1009.125
1780,1142.3125
1781,1262.875
1782,1398.875
1783,1433.75
1784,1423.5625
1785,1399.25
1786,1347.25
1787,1323.4375
1788,1275.625
1789,1259.3125
1790,1228.8125
1791,1226.375
1792,1178.3125
1793,1129
1794,1073
1795,983.9375
1796,877.6875
1797,984.375
1798,1107.6875
1799,1291.25
1800,1404.4375
1801,1432
1802,1446.25
1803,1444.8125
1804,1369.6875
1805,1356.6875
1806,1295.3125
1807,1279.75
1808,1252.0625
1809,1210.8125
1810,1177.875
1811,1140.75
1812,1129.25
1813,1001.0625
1814,864.25
1815,873.625
1816,1035
1817,1101.375
1818,1286
1819,1373.75
